"MC","winRate","Games"
"Roy",0.58,77
"Marth",0.58,60
"Vallui",0.51,57
"Oboro",0.50,42
"Fir",0.50,34
"Chrom",0.55,29
"Sanaki",0.57,28
"Micaiah",0.43,28
"Sigrun",0.69,26
"Eirika",0.52,23
"Cordelia",0.48,21
"Leif",0.40,20
"Gawain",0.70,20
"Ephraim",0.28,18
"Patty",0.59,17
"Yuri",0.41,17
"Dimitri",0.53,17
"Lysithea",0.56,16
"Seliph",0.69,16
"Alm",0.47,15
"Franz",0.46,13
"Ike",0.42,12
"Hilda",0.67,12
"Minerva",0.45,11
"Lilina",0.55,11
"Itsuki",0.55,11
"Marcina",0.80,10
"Saizo",0.40,10
"Eliwood",0.50,10
"Lissa",0.30,10
"Elise",0.30,10
"Fae",0.11,9
"Sylvain",0.50,8
"Garon",0.25,8
"Ferdinand",0.50,8
"Annette",0.38,8
"Arvis",0.63,8
"Reinhardt",0.75,8
"Boey",0.14,7
"Edelgard",0.86,7
"Corrin(M)",0.43,7
"Corrin(F)",0.14,7
"Soleil",0.57,7
"Conrad",0.67,6
"Azura",0.50,6
"Lucina",0.33,6
"Byleth(F)",0.50,6
"Ophelia",0.60,5
"Leanne",0.20,5
"Shigure",0.80,5
"Morgan(M)",0.60,5
"Kaze",1.00,5
"Gerik",0.75,4
"Laslow",0.50,4
"Finn",0.50,4
"Sigurd",0.50,4
"Hana",0.75,4
"Saber",1.00,4
"Selkie",0.50,4
"Catherine",0.50,4
"Kiran",0.33,3
"Byleth(M)",0.33,3
"Lon'qu",0.33,3
"Alice",0.33,3
"Gray",0.33,3
"Nino",0.67,3
"Rhea",0.33,3
"Tsubasa",0.33,3
"Say'ri",0.33,3
"Al",0.33,3
"Siegbert",0.33,3
"Eldigan",0.33,3
"Yuzu",0.33,3
"Mia",0.33,3
"Gaius",0.33,3
"Xander",0.67,3
"Hapi",0.67,3
"Sothe",0.33,3
"Joshua",0.50,2
"Lloyd",0.50,2
"Olwen",0.50,2
"Cherche",0.50,2
